Product Info,"Product Name: Rowenta VU5670U2 Turbo Silence Extreme 4-Speed Pedestal Fan, Bronze || Date Scraped: [datetime.datetime(2019, 1, 26, 17, 31, 35, 803523)]",,Product URL: https://www.amazon.ca/Rowenta-VU5670U2-Silence-Extreme-Pedestal/dp/B071JBX9MQ/ref=cm_cr_arp_d_product_top?ie=UTF8
KEYWORDS,Keywords Sentiments Score,Keywords Confidence Score,Sentence,Sentiment Score,Confidence Score,Author,Rating,Average Rating,Category
CHEAP,-0.1611954420289857,0.9208748488494881,"Ive only owned cheap fans before , I recently purchased this fan for my bedroom , mainly for when I sleep.",-0.761497,0.570833333333,THOMAS JONATHAN,5,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,"I found the design kinda weird on the picture but it looks better in real, some materials though seems cheaper than on picture.",0.348296,0.6,THOMAS JONATHAN,5,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,maybe rowenta ran out of budget or instead of cheaping out even more on materials quality they chose to forgo the battery.,-0.816297,0.5,InkyFresh Designs,4,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,"For slightly higher noise, you can get a fan much cheaper than this remote control and higher flow rate.",0.706782,0.35,Suraj Bansal,3,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,I was tired of the cheap Costco fans that are super load.,-0.885448,0.688888888889,Ian C.,5,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,We bought the cheap fans for years and they just all broke down within months so we decided to spend a little more to see the difference... WOW!,-0.355833,0.597777777778,Dez,4,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,"On the good old cheap fans you simply flip the clips up and super easy to take apart, whereas on this fan, you have to undue a tine screw with washer at the bottom of a plastic ring that wraps around grills holding them together.",0.486421,0.559523809524,elf,1,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,"The only difference is that the cheaper fans only have 2 settings, not low enough for complete silence.",-0.709569,0.64,elf,1,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,All-in-all this is a really overpriced fan and personally I prefer my cheap fans,0.837877,0.4,elf,1,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,Theres no electrical hum or gear noise associated with the oscillation which Ive had on cheaper fans.,-0.804029,0.0,jcsthree,5,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,Purchased this fan to replace a 5+ year old Costco cheapie fan.,0.698054,0.2,Ookpic,3,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,This fan can be set on speed 2 for the same amount of air movement that my cheapo fan would push on high speed.,0.409868,0.3325,Ookpic,3,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,This fan is more than twice the cost of the cheap fans I usually purchase so time will tell if it lasts any longer.,-0.568556,0.483333333333,Ookpic,3,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,Grey is listed slightly cheaper and its what I purchased however I was sent bronze.,0.0,0.133333333333,Vic,5,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,I waiting to see it this one goes on sale since it isn't the cheapest fan out there.,-0.596385,0.0,Michelle P,4,4.4,NULL
CHEAP,-0.1611954420289857,0.9208748488494881,I waiting to see it this one goes on sale since it isn't the cheapest fan out there.,0.0,0.0,Michelle P,4,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,"It wobbles on it's stand and on the lowest regular speed setting it undulates, making the entire frame shudder.",-0.842241,0.350961538462,DoctorVive,3,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,It's not as quiet as I had hoped because of this; though it seems fine on the second and third speed settings.,-0.268558,0.208333333333,DoctorVive,3,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,On higher speeds its quieter than most fans Ive used and produce more wind.,0.792581,0.5,THOMAS JONATHAN,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,The only bad aspect of it is the price and the fact that when you use the remote to change the speed or turn it on or off it does a beeping sound which is kind of annoying during the night if you dont want to wake up the person youre sleeping with.,-0.912015,0.677777777778,THOMAS JONATHAN,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,"I like that this fan is able to run whisper quiet for nighttime usage, that it has 5 different fan speeds in total (including the aforementioned whisper mode, as well as a turbo option), that the base of the stand is incredibly sturdy (this won't tip very easily) and that the price point is quite reasonable.",0.981584,0.64537037037,decius01,4,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,"Remote is useful at night, when you want to change speed from the bed.",0.826661,0.1,Frank,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,Has many different settings and speed options.,0.0,0.55,Peter Giannoulis,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,the unit met all the offerings mentioned by the manufacturer and air volume is very acceptable at any speed selected.,0.773243,0.3,Francis,4,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,"When you run the fan, it makes no noise at all even at the highest speed - turbo boost.",0.894192,0.0,Tuxwarrior,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,It worked great for three months and then we had trouble with it giving off a humming noise on low speed.,-0.737677,0.416666666667,Amazon Customer 2017-01-21,1,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,It has a quiet fan and can blow air at a high speed without noise as well,-0.342265,0.436666666667,Nancy Sevenpifer,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,It is incredibly quiet on the low speed.,-0.859992,0.316666666667,Vdubya,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,I went through 2 tower fans and had to keep looking as even on the low quiet speed were too loud when trying to fall asleep.,-0.900846,0.477777777778,BDK,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,"Even at it's max speed, where it REALLY puts out air, it's still nowhere near as loud as some other fans I've owned.",-0.953165,0.44375,Craig McPherson,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,"The remote is a plus, allowing the user to not bother getting out of bed to change or adjust speeds.",-0.343539,0.2,Craig McPherson,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,Remote is a nice option but only controls speed and on/off.,0.908849,0.733333333333,Kris,4,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,On the highest speed all you will hear is rushing air.,0.0,0.0,SugarSkullSoul,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,The silent sleep speed is incredible!,0.973971,0.5,SugarSkullSoul,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,"Perfect nighttime fan - easily changed speeds with the remote, and quiet, even on faster speeds.",0.91784,0.591666666667,Sarah,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,Also good to cool down a hot room on the oscillating 'turbo' speed.,0.796274,0.597222222222,Sarah,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,The 4 speeds are more than enough!,0.374272,0.5,Amazon Customer 2018-06-04,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,The later being only a 4th speed.,0.0,0.5,Ookpic,3,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,The base is very solid and the fan doesn't move or wobble when it runs at top speed.,0.394391,0.543333333333,Ookpic,3,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,This fan can be set on speed 2 for the same amount of air movement that my cheapo fan would push on high speed.,0.409868,0.3325,Ookpic,3,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,The silent mode is super silent and is the lowest speed but still creates a sufficient air flow.,0.445786,0.288888888889,John Turcotte,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,The turbo speed is super fast and is substantially loud but not as loud as other 16 inch fans I have owned and it puts out volumes of air on this setting.,0.37079,0.648333333333,John Turcotte,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,There is also an energy saving mode that when enabled gradually reduces the fan speed over the course of time.,0.666763,0.0,John Turcotte,5,4.4,NULL
SPEED,0.9696039787234044,2.677719139115415,It is heavy in comparison to other manufacturers and offers extremely quiet speed controls especially in the low end range.,0.0,0.418055555556,Boomerang,5,4.4,NULL
SLOW,-0.44398203846153844,0.521125747471901,They are slowly being introduced to the North American market.,0.0,0.2,Boomerang,5,4.4,NULL
KNOB,3.2315389999999997,3.6527777777777772,It oscillates nicely and the oscillation can be turned off or on with a push or a pull of a knob located on the motor housing and the power cord has a nice length.,0.954667,1.0,John Turcotte,5,4.4,NULL
FRONT,-0.45071312500000016,0.7176922123015873,"As soon as you unscrew it the tiny little washer falls off, the plastic ring falls off and the front grill falls off; now..........try putting it back together - I spent 20 minutes trying to get it back together - terrible and difficult to do.",-0.979623,0.442857142857,elf,1,4.4,NULL
PART,0.13862010569105696,0.7883723127219072,"The fan itself on silent night does not a lot of wind but enough to cool you down during the night if you are in a small bedroom, and the best part is that the fan makes almost no noise at all , its very quiet.",0.467058,0.381746031746,THOMAS JONATHAN,5,4.4,NULL
